"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 19 17:38:23 UTC 2026","Tue May 19 17:38:28 UTC 2026","4897","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"failed","Tue May 19 17:38:31 UTC 2026","Tue May 19 17:38:35 UTC 2026","4143","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Tue May 19 17:38:23 UTC 2026","Tue May 19 17:38:29 UTC 2026","5939","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Tue May 19 17:38:33 UTC 2026","Tue May 19 17:38:49 UTC 2026","16458","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Tue May 19 17:38:28 UTC 2026","Tue May 19 17:38:31 UTC 2026","2555","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"broken","Tue May 19 17:38:31 UTC 2026","Tue May 19 17:38:31 UTC 2026","664","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Tue May 19 17:38:39 UTC 2026","Tue May 19 17:38:41 UTC 2026","1222","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
