"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 08 19:01:45 UTC 2026","Fri May 08 19:01:47 UTC 2026","2176","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri May 08 19:01:49 UTC 2026","Fri May 08 19:02:03 UTC 2026","14055","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri May 08 19:01:54 UTC 2026","Fri May 08 19:01:55 UTC 2026","1160","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri May 08 19:01:41 UTC 2026","Fri May 08 19:01:45 UTC 2026","3834","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"broken","Fri May 08 19:01:47 UTC 2026","Fri May 08 19:01:48 UTC 2026","554","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"failed","Fri May 08 19:01:48 UTC 2026","Fri May 08 19:01:51 UTC 2026","2712","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri May 08 19:01:41 UTC 2026","Fri May 08 19:01:46 UTC 2026","4609","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
