"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 28 20:07:46 UTC 2026","Tue Apr 28 20:07:49 UTC 2026","3188","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"broken","Tue Apr 28 20:07:49 UTC 2026","Tue Apr 28 20:07:50 UTC 2026","789","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Tue Apr 28 20:07:41 UTC 2026","Tue Apr 28 20:07:47 UTC 2026","5901","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Tue Apr 28 20:07:41 UTC 2026","Tue Apr 28 20:07:46 UTC 2026","4863","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Tue Apr 28 20:07:50 UTC 2026","Tue Apr 28 20:08:07 UTC 2026","16334","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Tue Apr 28 20:07:57 UTC 2026","Tue Apr 28 20:07:59 UTC 2026","1525","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Tue Apr 28 20:07:50 UTC 2026","Tue Apr 28 20:07:54 UTC 2026","4114","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
