"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 07 03:45:23 UTC 2026","Fri Aug 07 03:45:29 UTC 2026","6117","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Fri Aug 07 03:45:23 UTC 2026","Fri Aug 07 03:45:28 UTC 2026","5121","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri Aug 07 03:45:29 UTC 2026","Fri Aug 07 03:45:31 UTC 2026","2525","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri Aug 07 03:45:40 UTC 2026","Fri Aug 07 03:45:42 UTC 2026","1602","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Fri Aug 07 03:45:32 UTC 2026","Fri Aug 07 03:45:36 UTC 2026","4126","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"broken","Fri Aug 07 03:45:31 UTC 2026","Fri Aug 07 03:45:32 UTC 2026","678","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Fri Aug 07 03:45:33 UTC 2026","Fri Aug 07 03:45:50 UTC 2026","16415","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
