"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 15 16:50:43 UTC 2026","Fri May 15 16:50:59 UTC 2026","16374","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri May 15 16:50:49 UTC 2026","Fri May 15 16:50:50 UTC 2026","1568","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri May 15 16:50:33 UTC 2026","Fri May 15 16:50:38 UTC 2026","4728","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri May 15 16:50:33 UTC 2026","Fri May 15 16:50:39 UTC 2026","5736","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"broken","Fri May 15 16:50:41 UTC 2026","Fri May 15 16:50:41 UTC 2026","650","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"failed","Fri May 15 16:50:41 UTC 2026","Fri May 15 16:50:45 UTC 2026","3477","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri May 15 16:50:38 UTC 2026","Fri May 15 16:50:41 UTC 2026","2691","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
