"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 09 17:40:04 UTC 2026","Sat May 09 17:40:10 UTC 2026","5783","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Sat May 09 17:40:04 UTC 2026","Sat May 09 17:40:09 UTC 2026","4747","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Sat May 09 17:40:09 UTC 2026","Sat May 09 17:40:12 UTC 2026","2791","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"failed","Sat May 09 17:40:12 UTC 2026","Sat May 09 17:40:16 UTC 2026","3426","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Sat May 09 17:40:19 UTC 2026","Sat May 09 17:40:21 UTC 2026","1493","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Sat May 09 17:40:14 UTC 2026","Sat May 09 17:40:30 UTC 2026","16327","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"broken","Sat May 09 17:40:12 UTC 2026","Sat May 09 17:40:12 UTC 2026","664","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
