"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 12 05:28:07 UTC 2026","Fri Jun 12 05:28:11 UTC 2026","3453","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"broken","Fri Jun 12 05:28:11 UTC 2026","Fri Jun 12 05:28:12 UTC 2026","762","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"failed","Fri Jun 12 05:28:12 UTC 2026","Fri Jun 12 05:28:16 UTC 2026","3965","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri Jun 12 05:28:02 UTC 2026","Fri Jun 12 05:28:07 UTC 2026","5552","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri Jun 12 05:28:02 UTC 2026","Fri Jun 12 05:28:09 UTC 2026","6734","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Fri Jun 12 05:28:13 UTC 2026","Fri Jun 12 05:28:31 UTC 2026","18122","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri Jun 12 05:28:20 UTC 2026","Fri Jun 12 05:28:22 UTC 2026","1763","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
