"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 21 23:52:54 UTC 2026","Tue Apr 21 23:53:00 UTC 2026","6024","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Tue Apr 21 23:53:09 UTC 2026","Tue Apr 21 23:53:10 UTC 2026","1459","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Tue Apr 21 23:53:01 UTC 2026","Tue Apr 21 23:53:13 UTC 2026","11365","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Tue Apr 21 23:52:54 UTC 2026","Tue Apr 21 23:53:00 UTC 2026","5500","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"failed","Tue Apr 21 23:53:04 UTC 2026","Tue Apr 21 23:53:08 UTC 2026","3856","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"broken","Tue Apr 21 23:53:03 UTC 2026","Tue Apr 21 23:53:04 UTC 2026","703","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Tue Apr 21 23:53:00 UTC 2026","Tue Apr 21 23:53:03 UTC 2026","3167","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
