"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 19 06:11:34 UTC 2026","Fri Jun 19 06:11:37 UTC 2026","3381","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri Jun 19 06:11:46 UTC 2026","Fri Jun 19 06:11:48 UTC 2026","1942","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri Jun 19 06:11:28 UTC 2026","Fri Jun 19 06:11:34 UTC 2026","5671","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri Jun 19 06:11:39 UTC 2026","Fri Jun 19 06:11:56 UTC 2026","17377","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri Jun 19 06:11:28 UTC 2026","Fri Jun 19 06:11:35 UTC 2026","6837","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"broken","Fri Jun 19 06:11:37 UTC 2026","Fri Jun 19 06:11:38 UTC 2026","727","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"failed","Fri Jun 19 06:11:38 UTC 2026","Fri Jun 19 06:11:42 UTC 2026","3966","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
