"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 05 23:34:23 UTC 2026","Tue May 05 23:34:24 UTC 2026","774","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Tue May 05 23:34:15 UTC 2026","Tue May 05 23:34:21 UTC 2026","5736","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Tue May 05 23:34:15 UTC 2026","Tue May 05 23:34:20 UTC 2026","4811","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Tue May 05 23:34:20 UTC 2026","Tue May 05 23:34:23 UTC 2026","2826","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Tue May 05 23:34:31 UTC 2026","Tue May 05 23:34:32 UTC 2026","1262","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Tue May 05 23:34:25 UTC 2026","Tue May 05 23:34:41 UTC 2026","15794","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"failed","Tue May 05 23:34:24 UTC 2026","Tue May 05 23:34:27 UTC 2026","3546","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
