"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 29 05:09:38 UTC 2026","Fri May 29 05:09:41 UTC 2026","3725","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri May 29 05:09:51 UTC 2026","Fri May 29 05:09:53 UTC 2026","1588","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Fri May 29 05:09:42 UTC 2026","Fri May 29 05:09:46 UTC 2026","4006","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"broken","Fri May 29 05:09:41 UTC 2026","Fri May 29 05:09:42 UTC 2026","836","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Fri May 29 05:09:32 UTC 2026","Fri May 29 05:09:38 UTC 2026","5703","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri May 29 05:09:44 UTC 2026","Fri May 29 05:10:02 UTC 2026","17654","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri May 29 05:09:32 UTC 2026","Fri May 29 05:09:40 UTC 2026","7847","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
