"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 05 05:12:53 UTC 2026","Fri Jun 05 05:12:57 UTC 2026","3997","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri Jun 05 05:12:48 UTC 2026","Fri Jun 05 05:12:52 UTC 2026","3318","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri Jun 05 05:13:01 UTC 2026","Fri Jun 05 05:13:03 UTC 2026","1724","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri Jun 05 05:12:54 UTC 2026","Fri Jun 05 05:13:12 UTC 2026","17694","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri Jun 05 05:12:42 UTC 2026","Fri Jun 05 05:12:49 UTC 2026","6976","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Fri Jun 05 05:12:42 UTC 2026","Fri Jun 05 05:12:48 UTC 2026","5828","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"broken","Fri Jun 05 05:12:52 UTC 2026","Fri Jun 05 05:12:53 UTC 2026","958","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
