"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 21 02:21:03 UTC 2026","Fri Aug 21 02:21:06 UTC 2026","2939","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"broken","Fri Aug 21 02:21:06 UTC 2026","Fri Aug 21 02:21:07 UTC 2026","642","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Fri Aug 21 02:20:58 UTC 2026","Fri Aug 21 02:21:04 UTC 2026","5766","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"failed","Fri Aug 21 02:21:07 UTC 2026","Fri Aug 21 02:21:10 UTC 2026","3607","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri Aug 21 02:21:15 UTC 2026","Fri Aug 21 02:21:16 UTC 2026","1173","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri Aug 21 02:21:08 UTC 2026","Fri Aug 21 02:21:24 UTC 2026","16086","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri Aug 21 02:20:58 UTC 2026","Fri Aug 21 02:21:03 UTC 2026","4863","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
