"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 17:13:44 UTC 2026","Sun Apr 26 17:13:46 UTC 2026","1478","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Sun Apr 26 17:13:28 UTC 2026","Sun Apr 26 17:13:33 UTC 2026","4758","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Sun Apr 26 17:13:33 UTC 2026","Sun Apr 26 17:13:36 UTC 2026","2856","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Sun Apr 26 17:13:28 UTC 2026","Sun Apr 26 17:13:34 UTC 2026","5879","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Sun Apr 26 17:13:38 UTC 2026","Sun Apr 26 17:13:55 UTC 2026","16444","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"failed","Sun Apr 26 17:13:37 UTC 2026","Sun Apr 26 17:13:40 UTC 2026","3331","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"broken","Sun Apr 26 17:13:36 UTC 2026","Sun Apr 26 17:13:37 UTC 2026","716","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
