"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 24 15:59:45 UTC 2026","Sun May 24 15:59:51 UTC 2026","5578","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"failed","Sun May 24 15:59:53 UTC 2026","Sun May 24 15:59:57 UTC 2026","3695","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Sun May 24 15:59:50 UTC 2026","Sun May 24 15:59:53 UTC 2026","2556","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Sun May 24 15:59:45 UTC 2026","Sun May 24 15:59:50 UTC 2026","4515","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Sun May 24 15:59:55 UTC 2026","Sun May 24 16:00:11 UTC 2026","15932","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Sun May 24 16:00:01 UTC 2026","Sun May 24 16:00:02 UTC 2026","1481","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"broken","Sun May 24 15:59:53 UTC 2026","Sun May 24 15:59:53 UTC 2026","639","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
