"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 10 17:41:42 UTC 2026","Sun May 10 17:41:45 UTC 2026","3404","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Sun May 10 17:41:44 UTC 2026","Sun May 10 17:42:00 UTC 2026","15926","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Sun May 10 17:41:49 UTC 2026","Sun May 10 17:41:51 UTC 2026","1496","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Sun May 10 17:41:34 UTC 2026","Sun May 10 17:41:40 UTC 2026","5837","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Sun May 10 17:41:34 UTC 2026","Sun May 10 17:41:39 UTC 2026","4895","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Sun May 10 17:41:39 UTC 2026","Sun May 10 17:41:41 UTC 2026","2612","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"broken","Sun May 10 17:41:41 UTC 2026","Sun May 10 17:41:42 UTC 2026","666","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
