"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 27 19:02:21 UTC 2026","Mon Apr 27 19:02:22 UTC 2026","604","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Mon Apr 27 19:02:14 UTC 2026","Mon Apr 27 19:02:19 UTC 2026","5625","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"passed","Mon Apr 27 19:02:24 UTC 2026","Mon Apr 27 19:02:40 UTC 2026","16316","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Mon Apr 27 19:02:18 UTC 2026","Mon Apr 27 19:02:21 UTC 2026","2493","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Mon Apr 27 19:02:14 UTC 2026","Mon Apr 27 19:02:18 UTC 2026","4492","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Mon Apr 27 19:02:29 UTC 2026","Mon Apr 27 19:02:30 UTC 2026","1535","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Mon Apr 27 19:02:22 UTC 2026","Mon Apr 27 19:02:25 UTC 2026","3556","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
