"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 03 04:38:02 UTC 2026","Fri Jul 03 04:38:04 UTC 2026","2460","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri Jul 03 04:38:07 UTC 2026","Fri Jul 03 04:38:23 UTC 2026","15939","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"broken","Fri Jul 03 04:38:04 UTC 2026","Fri Jul 03 04:38:05 UTC 2026","591","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Fri Jul 03 04:37:57 UTC 2026","Fri Jul 03 04:38:02 UTC 2026","4622","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri Jul 03 04:38:12 UTC 2026","Fri Jul 03 04:38:14 UTC 2026","1729","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Fri Jul 03 04:38:05 UTC 2026","Fri Jul 03 04:38:08 UTC 2026","3555","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri Jul 03 04:37:57 UTC 2026","Fri Jul 03 04:38:03 UTC 2026","5819","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
