"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 10 04:45:32 UTC 2026","Fri Jul 10 04:45:38 UTC 2026","5890","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"broken","Fri Jul 10 04:45:39 UTC 2026","Fri Jul 10 04:45:40 UTC 2026","558","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"failed","Fri Jul 10 04:45:40 UTC 2026","Fri Jul 10 04:45:43 UTC 2026","3668","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri Jul 10 04:45:32 UTC 2026","Fri Jul 10 04:45:37 UTC 2026","4868","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Fri Jul 10 04:45:47 UTC 2026","Fri Jul 10 04:45:49 UTC 2026","1655","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"passed","Fri Jul 10 04:45:37 UTC 2026","Fri Jul 10 04:45:39 UTC 2026","2575","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri Jul 10 04:45:42 UTC 2026","Fri Jul 10 04:45:58 UTC 2026","15967","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
