"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 17:07:45 UTC 2026","Fri May 22 17:08:01 UTC 2026","16053","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Fri May 22 17:07:36 UTC 2026","Fri May 22 17:07:41 UTC 2026","5545","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"failed","Fri May 22 17:07:44 UTC 2026","Fri May 22 17:07:47 UTC 2026","3511","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
"passed","Fri May 22 17:07:51 UTC 2026","Fri May 22 17:07:52 UTC 2026","1586","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"broken","Fri May 22 17:07:43 UTC 2026","Fri May 22 17:07:44 UTC 2026","619","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Fri May 22 17:07:40 UTC 2026","Fri May 22 17:07:43 UTC 2026","2685","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Fri May 22 17:07:36 UTC 2026","Fri May 22 17:07:40 UTC 2026","4546","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
