"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 16 15:56:06 UTC 2026","Sat May 16 15:56:11 UTC 2026","5392","","Link popup suite","","com.andrii.test.tests.CheckPopupTest","checkPopupTest","Open link popup",""
"broken","Sat May 16 15:56:13 UTC 2026","Sat May 16 15:56:13 UTC 2026","578","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Attempt to search on non-existent language (test should fail)",""
"passed","Sat May 16 15:56:06 UTC 2026","Sat May 16 15:56:10 UTC 2026","4344","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in English",""
"passed","Sat May 16 15:56:15 UTC 2026","Sat May 16 15:56:31 UTC 2026","16081","","WikiMedia files suite","","com.andrii.test.tests.DownloadFileTest","downloadPdfFileTest","Download pdf file from WikiMedia",""
"passed","Sat May 16 15:56:10 UTC 2026","Sat May 16 15:56:13 UTC 2026","2380","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Correct search in Dutch",""
"passed","Sat May 16 15:56:20 UTC 2026","Sat May 16 15:56:22 UTC 2026","1534","","Featured languages suite","","com.andrii.test.tests.FeaturedLanguagesTest","featuredLanguagesTest","Check list of featured languages",""
"failed","Sat May 16 15:56:13 UTC 2026","Sat May 16 15:56:17 UTC 2026","3247","","Open page suite","","com.andrii.test.tests.OpenPageTest","searchFromMainPageTest","Perform search from the main page: Redirecting to another page (test should fail)",""
